#
# WHOIS Servers List
# Last updated on 21/06/2019
#

aaa whois.nic.aaa
aarp whois.nic.aarp
abarth whois.nic.abarth
abb whois.nic.abb
abbott whois.nic.abbott
abbvie whois.nic.abbvie
abc whois.nic.abc
able whois.nic.able
abogado whois-dub.mm-registry.com
abudhabi whois.nic.abudhabi
ac whois.nic.ac
ac whois.nic.ac
ac.ac whois.nic.ac
ac.at whois.nic.at
ac.be whois.dns.be
ac.cn whois.cnnic.net.cn
ac.il whois.isoc.org.il
ac.in whois.inregistry.in
ac.jp whois.nic.ad.jp
ac.ke whois.kenic.or.ke
ac.kr whois.nic.or.kr
ac.nz whois.srs.net.nz
ac.th whois.thnic.net
ac.uk whois.ja.net
ac.za whois.co.za
academy whois.donuts.co
academy whois.donuts.co
accenture whois.nic.accenture
accountant whois.nic.accountant
accountant whois.nic.accountant
accountants whois.donuts.co
accountants whois.donuts.co
aco whois.nic.aco
actor whois.unitedtld.com
actor whois.unitedtld.com
ad whois.ripe.net
adac whois.nic.adac
adm.br whois.nic.br
ads whois.nic.ads
adult whois.nic.adult
adult whois.afilias-srs.net
adv.br whois.nic.br
ae whois.aeda.net.ae
ae whois.aeda.net.ae
ae.org whois.ae.org
aeg whois.nic.aeg
aero whois.aero
aero whois.aero
aetna whois.nic.aetna
af whois.nic.af
af whois.nic.af
afamilycompany whois.nic.afamilycompany
afl whois.nic.afl
africa whois.nic.africa
africa whois.nic.africa
ag whois.nic.ag
ag whois.nic.ag
agakhan whois.nic.agakhan
agency whois.donuts.co
agency whois.donuts.co
agro.pl whois.dns.pl
ah.cn whois.cnnic.net.cn
ai whois.ai
ai whois.ai
aid.pl whois.dns.pl
aig whois.nic.aig
aigo whois.nic.aigo
airbus whois.nic.airbus
airforce whois.donuts.co
airforce whois.unitedtld.com
airtel whois.nic.airtel
akdn whois.nic.akdn
al whois.ripe.net
alfaromeo whois.nic.alfaromeo
alibaba whois.nic.alibaba
alipay whois.nic.alipay
allfinanz whois.ksregistry.net
allstate whois.nic.allstate
ally whois.nic.ally
alsace whois-alsace.nic.fr
alstom whois.nic.alstom
alt.za whois.co.za
am whois.amnic.net
am whois.amnic.net
am.br whois.nic.br
americanexpress whois.nic.americanexpress
americanfamily whois.nic.americanfamily
amex whois.nic.amex
amfam whois.nic.amfam
amica whois.nic.amica
amsterdam whois.nic.amsterdam
analytics whois.nic.analytics
android domain-registry-whois.l.google.com
anquan whois.nic.anquan
anz whois.nic.anz
aol whois.nic.aol
apartments whois.donuts.co
apartments whois.donuts.co
app whois.nic.app
app whois.nic.app
apple whois.nic.apple
aquarelle whois-aquarelle.nic.fr
arab whois.nic.arab
aramco whois.nic.aramco
archi whois.ksregistry.net
archi whois.ksregistry.net
army whois.donuts.co
army whois.rightside.co
arq.br whois.nic.br
art whois.nic.art
art whois.nic.art
art.br whois.nic.br
arte whois.nic.arte
arts.ro whois.rotld.ro
as whois.nic.as
as whois.nic.as
asda whois.nic.asda
asia whois.nic.asia
asia whois.nic.asia
asn.au whois.aunic.net
asso.fr whois.nic.fr
asso.mc whois.ripe.net
associates whois.donuts.co
associates whois.donuts.co
at whois.nic.at
at whois.nic.at
athleta whois.nic.athleta
atm.pl whois.dns.pl
attorney whois.rightside.co
attorney whois.donuts.co
au whois.audns.net.au
au whois.aunic.net
auction whois.unitedtld.com
auction whois.donuts.co
audi whois.nic.audi
audible whois.nic.audible
audio whois.nic.audio
audio whois.uniregistry.net
auspost whois.nic.auspost
author whois.nic.author
auto whois.nic.auto
auto whois.nic.auto
auto.pl whois.dns.pl
autos whois.nic.autos
avianca whois.nic.avianca
aw whois.nic.aw
aw whois.nic.aw
aws whois.nic.aws
ax whois.ax
ax whois.ax
axa whois.nic.axa
az whois.ripe.net
azure whois.nic.azure
ba whois.ripe.net
baby whois.nic.baby
baby whois.nic.baby
baidu whois.nic.baidu
banamex whois.nic.banamex
bananarepublic whois.nic.bananarepublic
band whois.rightside.co
band whois.donuts.co
bank whois.nic.bank
bar whois.nic.bar
bar whois.nic.bar
barcelona whois.nic.barcelona
barclaycard whois.nic.barclaycard
barclays whois.nic.barclays
barefoot whois.nic.barefoot
bargains whois.donuts.co
bargains whois.donuts.co
baseball whois.nic.baseball
basketball whois.nic.basketball
bauhaus whois.nic.bauhaus
bayern whois-dub.mm-registry.com
